Ýllere ve tiyatro grubu türlerine göre tiyatrolarda oynanan telif/çeviri eser sayýsý, 2023/'24 sezonu;;;;;;;;;;;;;;;;;;;;;;;
The number of original/translated shows performed in theaters by provinces and theater group types, 2023/'24 season;;;;;;;;;;;;;;;;;;;;;;;
;;;;"Telif/Çeviri 
Original/Translated";;;;;;;;;;;;;;;;;;;
Ýl                           Province;"Tiyatro salonu sayýsý
The number of theater halls";"Koltuk sayýsý
The number of seats";;"Devlet Tiyatrolarý
The number of state theaters";;;;"Özel Tiyatrolar
The number of private theaters";;;;"Belediye Tiyatrolarý
The number of municipal theaters";;;;"Üniversite Tiyatrolarý
The number of university theaters";;;;"Sivil Toplum Kuruluþu Tiyatrolarý
The number of non-governmental institution theaters";;;
;;;;"Toplam
Total";"Telif
Original";"Çeviri
Translated";;"Toplam
Total";"Telif
Original";"Çeviri
Translated";;"Toplam
Total";"Telif
Original";"Çeviri
Translated";;"Toplam
Total";"Telif
Original";"Çeviri
Translated";;"Toplam
Total";"Telif
Original";"Çeviri
Translated";
Kýrýkkale;  1;  342;;4;3;1;;  30;  30;-;;-;-;-;;-;-;-;;  1;  1;-;
Kýrklareli;  6; 2 081;;7;3;4;;  36;  35;  1;;  7;7;-;;  11;11;-;;  4;  4;-;
Kýrþehir;  2;  924;;2;1;1;;-;-;-;;  90;65;25;;  ;-;-;;  ;-;-;
Kilis;  2;  907;;4;1;3;;  10;  10;-;;-;-;-;;-;-;-;;  1;  1;-;
Kocaeli;  30; 11 971;;3;2;1;;  301;  300;  1;;  32;24;8;;-;-;-;;  2;  2;-;
Konya;  27; 12 591;;31;15;16;;  48;  34;  14;;  17;12;5;;  4;4;-;;  1;  1;-;
Kütahya;  9; 6 404;;5;4;1;;-;-;-;;  5;5;-;;-;-;-;;  8;  8;-;
Malatya;  8; 3 326;;11;8;3;;  23;  17;  6;;  2;2;-;;  5;2;  3;;  1;  1;-;
Manisa;  9; 3 584;;1;-;1;;  56;  55;  1;;  5;5;-;;-;-;-;;-;-;-;
Mardin;  7; 4 000;;5;2;3;;  8;  8;-;;-;-;-;;-;-;-;;  1;  1;-;
Mersin;  23; 9 842;;9;7;2;;  71;  65;  6;;  26;21;5;;  5;5;-;;  1;  1;-;
Muðla;  15; 9 096;;6;4;2;;  71;  53;  18;;  29;19;10;;  1;1;-;;-;-;-;
Muþ;  9; 3 474;;4;2;2;;  20;  20;-;;-;-;-;;  6;6;-;;-;-;-;
Nevþehir;  3; 2 312;;15;5;10;;  10;  10;-;;-;-;-;;-;-;-;;-;-;-;
Niðde;  2;  957;;8;5;3;;  17;  15;  2;;-;-;-;;-;-;-;;-;-;-;
Ordu;  10; 3 016;;17;7;10;;  54;  47;  7;;  21;  19;2;;-;-;-;;  6;  6;-;
Osmaniye;  3; 1 310;;5;3;2;;  14;  14;-;;-;-;-;;-;-;-;;-;-;-;
Rize;  7; 2 547;;15;4;11;;  8;  7;  1;;-;-;-;;  1;1;-;;  5;  5;-;
Sakarya;  14; 3 899;;3;1;2;;  65;  60;  5;;  4;4;-;;  ;-;-;;  6;  6;-;
Samsun;  6; 2 598;;19;9;10;;  46;  42;  4;;  4;4;-;;  7;5;  2;;  1;  1;-;
Siirt;  2; 1 060;;1;-;1;;  2;  2;-;;-;-;-;;-;-;-;;-;-;-;
Sinop;  14; 3 830;;4;1;3;;  56;  53;  3;;-;-;-;;  3;3;-;;-;-;-;
Sivas;  6; 3 267;;17;8;9;;  47;  25;  22;;-;-;-;;  6;2;  4;;-;-;-;
Þanlýurfa;  9; 5 818;;8;7;1;;  17;  15;  2;;  8;8;-;;-;-;-;;-;-;-;
Þýrnak;  1;  809;;  1;  1;-;;  1;  1;-;;-;-;-;;-;-;-;;-;-;-;
Tekirdað;  15; 5 789;;8;5;3;;  115;  101;  14;;  8;4;4;;-;-;-;;  1;  1;-;
Tokat;  4; 2 120;;6;4;2;;  3;  3;-;;-;-;-;;  3;3;-;;  ;-;-;
Trabzon;  16; 4 763;;32;13;19;;  137;  133;  4;;  13;13;-;;  2;2;-;;  1;  1;-;
Tunceli;  1;  275;;2;1;1;;  6;  6;-;;-;-;-;;-;-;-;;-;-;-;
Uþak;  4; 1 770;;9;3;6;;  25;  18;  7;;  8;6;2;;  3;-;  3;;  1;-;  1;
Van;  9; 1 668;;23;16;7;;  12;  11;  1;;  16;16;-;;-;-;-;;-;-;-;
Yalova;  2;  594;;3;1;2;;  12;  9;  3;;-;-;-;;-;-;-;;-;-;-;
Yozgat;  3; 1 250;;7;5;2;;  1;  1;-;;-;-;-;;  7;7;-;;-;-;-;
Zonguldak;  8; 2 154;;3;2;1;;  36;  35;  1;;  3;3;-;;  1;-;  1;;  1;  1;-;
TÜÝK, Sinema ve Gösteri Sanatlarý Ýstatistikleri, 2024;;;;;;;;;;;;;;;;;;;;;;;
TurkStat, Cinema and Performing Arts Statistics, 2024;;;;;;;;;;;;;;;;;;;;;;;
- Bilgi yoktur.;;;;;;;;;;;;;;;;;;;;;;;
- Denotes magnitude null.;;;;;;;;;;;;;;;;;;;;;;;
(1) Devlet Tiyatrolarý için illere göre eser sayýlarý toplamý mükerrerlik arz ettiðinden Türkiye için toplam sayýyý vermemektedir.;;;;;;;;;;;;;;;;;;;;;;;
(1) The total number of shows listed by province for State Theaters does not represent the national total for Turkey due to duplication;;;;;;;;;;;;;;;;;;;;;;;
