citys;hall;seats;show;perf;child_perf;adult_perf;audience;child_au;adult_au;c_capacity;a_capacity;c_oc_rate;a_oc_rate;pop;ap_rate;capacity;s_rate;year;y_perf;y_au;y_pop;y_ap_rate;t_show;age_group;type;total_show;or_trans;pct_ot;pct_ac
Düzce;  6; 1 374;  29;  102;  28;74; 19 453; 7 300; 12 153; 38 472; 101 676;18,97;11,95;412.344;4,717662922;140148;13,88032651;;;;;;;;;;;;
Edirne;  7; 3 406;  40;  95;  17;78; 19 873; 3 071; 16 802; 57 902; 265 668;5,30;6,32;421.247;4,71765971;323570;6,14179312;;;;;;;;;;;;
Elazýð;  6; 1 903;  77;  144;  65;79; 33 682; 11 525; 22 157; 123 695; 150 337;9,32;14,74;603.941;5,577034843;274032;12,29126525;;;;;;;;;;;;
Erzincan;  3; 2 125;  8;  8;  3;5; 2 569;  225; 2 344; 6 375; 10 625;3,53;22,06;241.239;1,064919022;17000;15,11176471;;;;;;;;;;;;
Erzurum;  8; 3 090;  43;  450;  145;305; 145 451; 48 065; 97 386; 448 050; 942 450;10,73;10,33;745.005;19,52349313;1390500;10,46033801;;;;;;;;;;;;
Eskiþehir;  13; 5 842;  109;  394;  125;269; 132 992; 41 806; 91 186; 730 250;1 571 498;5,72;5,80;921.630;14,43008583;2301748;5,777869689;;;;;;;;;;;;
Gaziantep;  13; 9 294;  121;  494;  96;398; 210 364; 18 642; 191 722; 892 224;3 699 012;2,09;5,18;2.193.363;9,590934104;4591236;4,581859874;;;;;;;;;;;;
Giresun;  5; 1 359;  10;  50;  15;35; 9 810; 3 300; 6 510; 20 385; 47 565;16,19;13,69;455.922;2,151683841;67950;14,43708609;;;;;;;;;;;;
Gümüþhane;  5; 1 591;  8;  9;  1;8; 1 619;  150; 1 469; 1 591; 12 728;9,43;11,54;142.617;1,135208285;14319;11,30665549;;;;;;;;;;;;
Hakkari;  1; 1 600;  1;4;  4;-; 1 600; 1 600;-; 6 400;  ;25,00;0,00;282.191;0,56699186;6400;25;;;;;;;;;;;;
Hatay;  11; 2 253;  268; 1 781;  851;930; 68 762; 37 183; 31 579;1 917 303;2 095 290;1,94;1,51;1.562.185;4,401655374;4012593;1,713654986;;;;;;;;;;;;
Iðdýr;  1;  360;  18;  32;  22;10; 5 163; 2 085; 3 078; 7 920; 3 600;26,33;85,50;206.857;2,495927138;11520;44,81770833;;;;;;;;;;;;
Isparta;  6; 2 034;  27;  54;  12;42; 13 641; 2 100; 11 541; 24 408; 85 428;8,60;13,51;446.409;3,055717963;109836;12,41942533;;;;;;;;;;;;
